city,osm_id,landuse_type,name,lat,lon,scraped_at
Kasserine,1094216899,brownfield,,35.1585766,8.8395126,2026-02-15T13:38:00.901782
Kasserine,1094221261,brownfield,,35.152468,8.8403333,2026-02-15T13:38:00.901782
Kasserine,1094221262,brownfield,,35.1521262,8.8393074,2026-02-15T13:38:00.901782
Kasserine,1094221263,brownfield,,35.1525493,8.8391645,2026-02-15T13:38:00.901782
Kasserine,1094517950,industrial,,35.1617242,8.8215339,2026-02-15T13:38:00.901782
Kasserine,1214495820,farmland,,35.1566056,8.8376122,2026-02-15T13:38:00.901782
Kasserine,1296960587,residential,,35.1670233,8.7841486,2026-02-15T13:38:00.901782
Kasserine,1296960589,forest,,35.168932,8.7783956,2026-02-15T13:38:00.901782
Kasserine,1389693748,orchard,,35.1644497,8.7997206,2026-02-15T13:38:00.901782
Kasserine,8294227,residential,,35.1656359,8.8379331,2026-02-15T13:38:00.901782
Tataouine,154909399,residential,,32.8714305,10.3891392,2026-02-15T13:38:16.116416
Tataouine,154909401,residential,قصر أولاد دباب,32.8722986,10.3821025,2026-02-15T13:38:16.116416
Tataouine,188986855,residential,,32.8868907,10.3898559,2026-02-15T13:38:16.116416
Tataouine,188986858,residential,,32.8787736,10.3795915,2026-02-15T13:38:16.116416
Tataouine,215136765,residential,,32.9800126,10.4588208,2026-02-15T13:38:16.116416
Tataouine,215136870,village_green,,32.9867129,10.4612764,2026-02-15T13:38:16.116416
Tataouine,215136871,industrial,,32.9832951,10.4644533,2026-02-15T13:38:16.116416
Tataouine,215136872,orchard,,32.9763744,10.4593729,2026-02-15T13:38:16.116416
Tataouine,215136873,village_green,,32.9872338,10.4610619,2026-02-15T13:38:16.116416
Tataouine,215136877,industrial,شركة العلف,33.0010618,10.4617473,2026-02-15T13:38:16.116416
Tataouine,215136878,farmland,,32.9755064,10.4589153,2026-02-15T13:38:16.116416
Tataouine,215190273,orchard,,32.9884271,10.4489888,2026-02-15T13:38:16.116416
Tataouine,215190276,farmland,,32.9973062,10.4556384,2026-02-15T13:38:16.116416
Tataouine,215190277,farmyard,,32.988257,10.4544604,2026-02-15T13:38:16.116416
Tataouine,215190278,farmyard,,32.9907866,10.4559334,2026-02-15T13:38:16.116416
Tataouine,215190279,farmyard,,32.987374,10.4553384,2026-02-15T13:38:16.116416
