etat_score,etat_prob_renove,standing_score,standing_prob_luxe
1,0.7513,2,0.3391
1,0.5333,3,0.3644
1,0.6737,3,0.3947
1,0.6391,2,0.3341
1,0.675,2,0.3571
1,0.7274,2,0.361
1,0.6419,2,0.3369
1,0.5878,3,0.3726
1,0.79,3,0.4116
1,0.7239,3,0.3855
1,0.6877,3,0.3666
1,0.7322,2,0.3337
1,0.6377,2,0.3647
1,0.6534,2,0.3347
1,0.5956,3,0.3576
1,0.5695,3,0.3601
1,0.5645,3,0.3976
1,0.5038,3,0.3401
1,0.5498,3,0.3657
1,0.5737,3,0.355
1,0.6966,2,0.3712
1,0.6834,3,0.3914
1,0.704,3,0.4371
0,0.4729,1,0.3207
1,0.6091,3,0.3657
1,0.6254,3,0.347
1,0.7199,2,0.3693
1,0.7459,2,0.3748
1,0.6213,3,0.3917
1,0.6372,2,0.3421
1,0.6473,2,0.3206
1,0.6679,2,0.3593
1,0.6327,2,0.3441
1,0.7402,2,0.3874
1,0.6855,3,0.3875
1,0.7088,3,0.3992
1,0.6747,2,0.3679
1,0.7086,3,0.3805
1,0.5923,2,0.3309
1,0.7452,2,0.3641
1,0.7074,3,0.425
1,0.6966,2,0.3712
1,0.678,3,0.3792
0,0.4729,1,0.3207
1,0.6737,3,0.3947
1,0.6919,2,0.3563
1,0.6933,2,0.355
1,0.6773,2,0.3744
1,0.6147,3,0.366
1,0.6517,2,0.3809
1,0.7308,3,0.4046
1,0.6364,3,0.3814
1,0.6024,2,0.2985
1,0.6076,2,0.3471
1,0.6744,3,0.3906
1,0.7277,2,0.3735
1,0.6658,3,0.3679
1,0.6508,3,0.3685
1,0.7392,2,0.3826
1,0.5289,2,0.3428
1,0.6574,2,0.3387
1,0.7018,2,0.3546
1,0.556,3,0.3484
1,0.7829,2,0.3798
0,0.4729,1,0.3207
1,0.5809,2,0.3601
1,0.6266,3,0.3776
0,0.4729,1,0.3207
1,0.7663,2,0.3725
1,0.6678,3,0.397
1,0.6739,2,0.3229
1,0.6711,3,0.3783
1,0.7748,3,0.3956
1,0.7272,2,0.3863
1,0.6475,2,0.3093
